pascal-context-460	pascal-context-60
unlabeled	background
accordion	background
aeroplane	aeroplane
air conditioner	background
antenna	background
artillery	background
ashtray	background
atrium	background
baby carriage	background
bag	bag
ball	background
balloon	background
bamboo weaving	background
barrel	background
baseball bat	background
basket	background
basketball backboard	background
bathtub	background
bed	bed
bedclothes	bedclothes
beer	background
bell	background
bench	bench
bicycle	bicycle
binoculars	background
bird	bird
bird cage	background
bird feeder	background
bird nest	background
blackboard	background
board	background
boat	boat
bone	background
book	book
bottle	bottle
bottle opener	background
bowl	background
box	background
bracelet	background
brick	background
bridge	background
broom	background
brush	background
bucket	background
building	building
bus	bus
cabinet	cabinet
cabinet door	background
cage	background
cake	background
calculator	background
calendar	background
camel	background
camera	background
camera lens	background
can	background
candle	background
candle holder	background
cap	background
car	car
card	background
cart	background
case	background
casette recorder	background
cash register	background
cat	cat
cd	background
cd player	background
ceiling	ceiling
cell phone	background
cello	background
chain	background
chair	chair
chessboard	background
chicken	background
chopstick	background
clip	background
clippers	background
clock	background
closet	background
cloth	cloth
clothes tree	background
coffee	background
coffee machine	background
comb	background
computer	computer
concrete	background
cone	background
container	background
control booth	background
controller	background
cooker	background
copying machine	background
coral	background
cork	background
corkscrew	background
counter	background
court	background
cow	cow
crabstick	background
crane	background
crate	background
cross	background
crutch	background
cup	cup
curtain	curtain
cushion	background
cutting board	background
dais	background
disc	background
disc case	background
dishwasher	background
dock	background
dog	dog
dolphin	background
door	door
drainer	background
dray	background
drink dispenser	background
drinking machine	background
drop	background
drug	background
drum	background
drum kit	background
duck	background
dumbbell	background
earphone	background
earrings	background
egg	background
electric fan	background
electric iron	background
electric pot	background
electric saw	background
electronic keyboard	background
engine	background
envelope	background
equipment	background
escalator	background
exhibition booth	background
extinguisher	background
eyeglass	background
fan	background
faucet	background
fax machine	background
fence	fence
ferris wheel	background
fire extinguisher	background
fire hydrant	background
fire place	background
fish	background
fish tank	background
fishbowl	background
fishing net	background
fishing pole	background
flag	background
flagstaff	background
flame	background
flashlight	background
floor	floor
flower	flower
fly	background
foam	background
food	food
footbridge	background
forceps	background
fork	background
forklift	background
fountain	background
fox	background
frame	background
fridge	background
frog	background
fruit	background
funnel	background
furnace	background
game controller	background
game machine	background
gas cylinder	background
gas hood	background
gas stove	background
gift box	background
glass	background
glass marble	background
globe	background
glove	background
goal	background
grandstand	background
grass	grass
gravestone	background
ground	ground
guardrail	background
guitar	background
gun	background
hammer	background
hand cart	background
handle	background
handrail	background
hanger	background
hard disk drive	background
hat	background
hay	background
headphone	background
heater	background
helicopter	background
helmet	background
holder	background
hook	background
horse	horse
horse-drawn carriage	background
hot-air balloon	background
hydrovalve	background
ice	background
inflator pump	background
ipod	background
iron	background
ironing board	background
jar	background
kart	background
kettle	background
key	background
keyboard	keyboard
kitchen range	background
kite	background
knife	background
knife block	background
ladder	background
ladder truck	background
ladle	background
laptop	background
leaves	background
lid	background
life buoy	background
light	light
light bulb	background
lighter	background
line	background
lion	background
lobster	background
lock	background
machine	background
mailbox	background
mannequin	background
map	background
mask	background
mat	background
match book	background
mattress	background
menu	background
metal	background
meter box	background
microphone	background
microwave	background
mirror	background
missile	background
model	background
money	background
monkey	background
mop	background
motorbike	motorbike
mountain	mountain
mouse	mouse
mouse pad	background
musical instrument	background
napkin	background
net	background
newspaper	background
oar	background
ornament	background
outlet	background
oven	background
oxygen bottle	background
pack	background
pan	background
paper	background
paper box	background
paper cutter	background
parachute	background
parasol	background
parterre	background
patio	background
pelage	background
pen	background
pen container	background
pencil	background
person	person
photo	background
piano	background
picture	background
pig	background
pillar	background
pillow	background
pipe	background
pitcher	background
plant	background
plastic	background
plate	plate
platform	platform
player	background
playground	background
pliers	background
plume	background
poker	background
poker chip	background
pole	background
pool table	background
postcard	background
poster	background
pot	background
pottedplant	pottedplant
printer	background
projector	background
pumpkin	background
rabbit	background
racket	background
radiator	background
radio	background
rail	background
rake	background
ramp	background
range hood	background
receiver	background
recorder	background
recreational machines	background
remote control	background
road	road
robot	background
rock	rock
rocket	background
rocking horse	background
rope	background
rug	background
ruler	background
runway	background
saddle	background
sand	background
saw	background
scale	background
scanner	background
scissors	background
scoop	background
screen	background
screwdriver	background
sculpture	background
scythe	background
sewer	background
sewing machine	background
shed	background
sheep	sheep
shell	background
shelves	shelves
shoe	background
shopping cart	background
