ade20k-151	ade20k-150
airplane	airplane
animal	animal
apparel	apparel
arcade machine	arcade machine
armchair	armchair
ashcan	ashcan
awning	awning
bag	bag
ball	ball
bannister	bannister
bar	bar
barrel	barrel
base	base
basket	basket
bathtub	bathtub
bed	bed
bench	bench
bicycle	bicycle
blanket	blanket
blind	blind
boat	boat
book	book
bookcase	bookcase
booth	booth
bottle	bottle
box	box
bridge	bridge
buffet	buffet
building	building
bulletin board	bulletin board
bus	bus
cabinet	cabinet
canopy	canopy
car	car
case	case
ceiling	ceiling
chair	chair
chandelier	chandelier
chest of drawers	chest of drawers
clock	clock
coffee table	coffee table
column	column
computer	computer
conveyer belt	conveyer belt
counter	counter
countertop	countertop
cradle	cradle
crt screen	crt screen
curtain	curtain
cushion	cushion
desk	desk
dirt track	dirt track
dishwasher	dishwasher
door	door
earth	earth
escalator	escalator
fan	fan
fence	fence
field	field
fireplace	fireplace
flag	flag
floor	floor
flower	flower
food	food
fountain	fountain
glass	glass
grandstand	grandstand
grass	grass
hill	hill
hood	hood
house	house
hovel	hovel
kitchen island	kitchen island
lake	lake
lamp	lamp
land	land
light	light
microwave	microwave
minibike	minibike
mirror	mirror
monitor	monitor
mountain	mountain
ottoman	ottoman
oven	oven
painting	painting
palm	palm
path	path
person	person
pier	pier
pillow	pillow
plant	plant
plate	plate
plaything	plaything
pole	pole
pool table	pool table
poster	poster
pot	pot
radiator	radiator
railing	railing
refrigerator	refrigerator
river	river
road	road
rock	rock
rug	rug
runway	runway
sand	sand
sconce	sconce
screen	screen
screen door	screen door
sculpture	sculpture
sea	sea
seat	seat
shelf	shelf
ship	ship
shower	shower
sidewalk	sidewalk
signboard	signboard
sink	sink
sky	sky
skyscraper	skyscraper
sofa	sofa
stage	stage
stairs	stairs
stairway	stairway
step	step
stool	stool
stove	stove
streetlight	streetlight
swimming pool	swimming pool
swivel chair	swivel chair
table	table
tank	tank
television receiver	television receiver
tent	tent
toilet	toilet
towel	towel
tower	tower
trade name	trade name
traffic light	traffic light
tray	tray
tree	tree
truck	truck
van	van
vase	vase
wall	wall
wardrobe	wardrobe
washer	washer
water	water
waterfall	waterfall
windowpane	windowpane
unlabeled	unlabeled
